Source Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
United States,206014.2,137480.2,137221.5,137452.6,118765.2,239416.5,152859.2,128531.3,151341.1,104884,138790.5,130747.2,130794.1,160272.3,124106.5,207977.2,163251.9,124255.5,259567.3,227349.6,200163.4,226755.8,3607997
Germany,44518.1,44340.3,43277.6,53338.7,63447.3,78189.6,66788.2,66321.9,69768.6,48048,55006.4,54141.5,45473.7,49116.4,60024.2,72371.4,75752.6,44363.5,73094.1,72756.8,98069.7,68971.8,1347180
Japan,51880.2,85035.4,47039.1,79662.2,48786.9,68545.2,58487.9,52616.5,67895.1,49220.3,66897.3,49881.9,59658.3,49541.1,51752.4,69367.1,48438.8,34518.8,44905.3,44100.2,53572.6,77981.7,1259784
United Kingdom,63560.1,32761.9,45711.6,48732.1,61614.3,83210,69885,63788.7,55478,38621.4,47077.7,34946.7,48998,40159.5,33045.6,49648,57538,43086,59249,76966.2,107943.1,74177.8,1236199
China,12344.5,6159.5,9699.6,16013.1,19110,43121.5,23019.4,18294.7,34927.8,24501.8,45927.5,77532.1,62737.8,109430.1,53197.5,88146.5,64985.4,49419.4,39897.9,51038.7,164305.9,84869.6,1098680
France,30541.4,26599.7,25847.2,43470.4,44077.9,114898.7,51938.8,42334.4,39282.3,52254.1,29206.1,46279.8,35054.3,36653.6,28849,52357.7,45776.8,38338.7,37021.9,78649.7,51377.3,65424.5,1016234
South Korea,14361,16369.2,21934.9,23372.1,20930.9,34225.5,28316.2,29935.8,31096.2,30230.7,19794.7,27305.6,25992.8,32620,27570.4,31597,37582.4,10041.3,33913.9,85327.9,42048.9,65024.4,689592
UAE,2545.8,2094.6,21987.4,30320,21690.2,65425.3,32226,19368.7,12586.1,14838.3,16404.1,18437.8,21139.7,24060.2,15392.2,26573.7,21297.2,9283.5,17410.3,89117.2,70598.4,71490.8,624288
Canada,51341.2,27925.2,44784.9,14398.6,13096.8,46477.2,31237.2,19850.4,26487.4,22613.6,21254.8,28595.8,20317,17444,13345.7,21220.9,23605.8,18281.4,22534,23368.9,47800.1,51213.6,607195
Netherlands,39684.8,23472.1,20008.2,33723.2,22390.5,38276.4,32798.2,31193.5,17427,11170.7,14563.2,18353.6,13635.3,9290.5,17175.9,47016.7,24976.4,19533.7,22060.5,26689.3,34562.1,49549.6,567552
Spain,21144,13466.8,5814.8,18402,27173.5,42580.8,36072.6,34780,27615.2,16821.4,22659,18327.2,15853.8,19567.7,23682.6,24335.3,27558.9,22916.3,21809.4,28997.3,28895,28343,526816
Singapore,12192.3,7576.9,5186.2,10549.4,9223.3,20860.5,14981.5,9730.9,13531.6,17790.5,16470.8,19562.8,25688.2,27075.7,16484.3,32639.2,39748.6,35333.5,27738.5,22487.6,32854,47352,465058
Italy,9733.4,8037.8,13932,10991.6,20910.6,34346.8,21576.3,17057.2,20080,19612.4,21097.1,12435.9,15490.5,15706.7,22855.2,27142,12370,11075.2,22389.3,31745.7,27499.2,31825.3,427910
Switzerland,7516,13684.7,8564.7,17046.3,19904.7,29747.6,17750.8,22433,16008.4,13474.8,20342.6,14405.1,13329.4,13366.6,19994.5,19497.8,27970.2,16764.8,14223,21006.2,35058.6,31098.8,413188
Hong Kong,10511.7,16713.5,7205.8,11242.1,12865.7,16051.7,16047.8,6891.9,10546.9,10322.8,57200.8,11818.1,16454.7,12485.1,11997.3,36233,12371.9,5522.6,7757.8,10757,48790.1,11203.6,360992
India,8587.5,9031.2,8306.8,23280.5,11337.7,25767.4,15155.2,18821.9,25230.1,20753.1,17014.6,12166.5,13592.1,17810,9489.5,10459.5,10408.9,7069.2,11457.6,42080.1,21769.2,17042.5,356631
Australia,22094.9,12131.4,14640.6,16100,13217.7,25448.4,16146.7,10913.1,13510.7,14653.3,10462.4,14233.2,11401.4,9112.1,6510.6,14320.7,12451.6,5457.3,16871.3,36821.3,19880.5,17869.7,334249
Russia,19307.3,13371.6,21244.5,11271.5,11689.2,12693.3,14263.8,13437.5,10826.2,4189.4,20033.6,4859,12774.9,7594.4,37396.5,11093.3,7741,2390.4,2816.3,1456.2,8627.4,3458.2,252535
Denmark,3416.3,3466,8535.2,3137.7,6890.5,14028.6,9227.9,2990.4,9774.9,6957.2,7957.6,6846.6,16440,7273.2,9421,8573.6,8806.2,7871.2,11060.6,25241.8,27057.5,18465.4,223439
Malaysia,15807.7,6811.7,5240.9,4515.1,17157.6,15145.7,14206.6,21464.8,3264.2,19807.3,4314.9,10196.3,9437.8,27584.6,4610.8,9050.3,2290.8,1663.3,1938.7,4351.7,3166.8,5238.6,207266
Sweden,4505.1,6772,8393,6773.1,6878.9,16237.6,9790.2,11145.3,10265.9,6374.8,8201.3,5584.3,4813.6,5392.2,7306.2,7510.5,10516.9,12344.3,10469.2,17942.9,18710.1,10207.7,206135
Saudi Arabia,967.2,5549.1,1814.2,5255.1,1876.9,4720.9,6955.5,1267.4,5515.1,2528.8,1510.5,1680.1,13407.2,6240.3,14790.9,4157.5,23941.3,3534.6,5010.8,32352.6,27508.2,15678.5,186263
Norway,4060.7,11938.1,6361,3730.9,9187.4,9153,7685.8,5348.3,6930.3,6916.7,3919.1,3171.4,10689.4,2590.4,5502.8,5131.1,6296.6,17039.2,9384.3,11048.7,18787.4,8970.7,173844
Austria,5380.5,6742.4,7747.2,14255.3,12609.1,20465.5,8245.5,7148.7,7234.9,4151.3,5027,4251,4219.9,4434.2,6408.8,10032.2,6743.2,4469.2,6207.4,10946.9,4744,5033.9,166498
Ireland,3985.8,4355.1,2779.7,8404.5,6109.1,8375.3,14401.8,3372.2,3478.8,8651.1,5412.3,3269,6597,7375.1,5015.9,7727.9,11297.6,5143.3,7023,9437.6,20300.6,9846.1,162359
Luxembourg,3992.7,1377.6,1659.3,1672.1,6846.4,11696.7,3581.5,3275.3,5021.1,3192.2,2756.3,3224.1,6610.8,5203.1,4307.2,9172.3,8273.7,4858.1,5203.4,17716.6,10310.6,40115.3,160066
Belgium,2344.4,2503.2,2919.4,2950.2,5990.4,12155.8,8552.2,6023.5,5473.4,3155.2,4534.4,6223.3,6132.5,7416.6,5623,8891.5,5461.4,5839.7,7899,15547.5,14322.4,8831.9,148791
Finland,8222.9,3766.1,7912.8,8128.9,12323,9585.2,3171.2,3988.5,5759,4525.3,8297.8,2188.6,4772.8,3812.5,10404.8,3037.8,6614.7,3430,3316.3,5142.8,4159.2,3283.9,125844
South Africa,3169.9,16035.5,2853.7,2821.9,2951.2,4396.2,7842.8,4587.1,27770.8,2144.3,6202,4525.6,2536.2,2714.1,2637.6,4270.8,2750.2,3055,3156.2,1627.8,3316,5105.3,116470
Thailand,2588.1,471.6,590,2866.2,1969.3,7146.9,5640.7,3513.2,10787.7,2453.8,5362.6,3942,14306,14779.6,3094.4,15031.3,10863.3,1964.2,1391.9,780.7,1687.3,2176.9,113408
Portugal,2319.6,2110.2,850,1605.4,4380.2,11668.1,9400,4593.3,1812.2,3251.2,3216.9,2126,1336.1,4155.9,818.3,1516.3,4440.2,3559.6,5984.5,16825.7,2881.6,8659.9,97511
Qatar,41,203.4,391.9,1591.1,847.4,8297.8,13544.7,1576.6,10286.8,7889.7,1155.6,116.6,512.9,621.4,591.8,7041.9,11013,544.8,646.8,1158.4,11674.6,12942.6,92691
Brazil,6544.7,3214.1,1535.1,3561,4489.3,10251.4,6524.1,11646.8,5403.7,2592,7164.7,1685.8,2105.1,1883.7,1811.5,5272.6,2767.8,1477.6,2806.5,2320.9,4433.3,2047.1,91539
Israel,3405,1941.6,2095.4,6054.5,4572.6,11282.3,2578.8,5542.2,2886.1,2928.5,3625.6,2182.7,3773.6,2271.6,1910.6,2964.8,3816.8,2811.3,3234.3,9991.4,6340.9,4539.3,90750
Turkey,3401,2098.9,2072.5,1710.5,2415,4325.4,3458.8,2946.3,2719.4,3400.9,7188.4,3768.4,2647.9,3314.7,3274.7,4265.9,5220.5,4390,3989.6,3251.4,6295.8,14177,90333
Kuwait,1267.3,832.3,8513.7,17292,1153.5,15490.5,3765,3510,3407.2,1173.6,10959.1,211.1,4068.1,1941.1,4141.2,2426,635.8,363.8,2212.5,456.8,3306.2,457.1,87584
Mexico,1291.9,2284.1,451.3,1703.3,2423.6,1125.7,1882.7,1356.4,8659.1,3216,3488.7,2503.7,3000.3,2114.2,2732.3,4828.7,7380.9,2143.8,2235.9,3807,1463.4,2048.7,62142
Bahrain,20.1,82.6,501.3,23205.4,8970.7,11856.1,4690.9,475.1,445.3,1277.6,868.5,336.7,3688.2,38.3,292.2,89.8,746,182.2,132.4,190.4,255.6,19.4,58365
Czech Republic,583.4,668.7,852.1,774,2967.5,3623.1,903.3,2297.8,1853.7,3033.1,1735.5,548.2,1148.5,1885.6,1633.7,4228.1,3337.1,2151.6,2524.2,12026.7,3472.6,1921.8,54170
Indonesia,4718.2,170,484.2,746.4,1538,138,1217,118.7,5017.3,570.3,399.4,1201.2,1503.7,185.1,182.2,902.7,24637.8,48,260,742.6,942.2,69.2,45792
Cyprus,623.4,888.2,576.8,914.4,1228.6,2103.3,1139.6,942.9,8490.1,3096.1,4138.6,1141.9,1428.4,1503.1,939.7,7119.1,2171.2,2075,1717.1,1154,1145.4,986.3,45523
Vietnam,850,113.5,531.6,4414.8,775.4,2845.5,1540.6,854.6,1362.3,178.4,1527.7,721.2,6320.9,2131.9,1385.7,1012.1,482.1,158.3,2319.8,4665.8,3718.7,2870.5,40781
Philippines,1080.3,749.2,80.6,295.7,1614.4,567.2,1614.8,1985.8,310.8,3961.5,1066.8,1862.3,1999.7,539.7,1148.9,7909.6,1596.2,1190.9,368,4146.7,1544.2,1462.6,37096
Poland,84.7,610.4,489.4,1095.3,2055.1,1630,932.4,2107,661.5,970.6,1051.4,1469.4,1536,444.9,1101.3,3748.3,1469.2,1271.6,3166.2,2343.5,5444.8,2338.6,36021
Azerbaijan,64.5,6.4,225,41.2,4259.2,1094.9,3334.5,330.7,78.5,2008.5,10107.8,66.8,278,903.8,3718.4,7154.8,102.7,309,292.9,103.3,1124.9,131.7,35738
Chile,985.4,445.6,854.5,239.8,1001.5,550.2,978.5,949.5,1288.8,505.5,952,536.2,1431.3,719.5,1015,2371,1947.5,1022.8,1032.6,3416,5462.1,6590.4,34296
Greece,1115.9,483.1,890.4,1965.9,1421.6,3913.5,1558.7,859.1,976.6,1242.9,490.7,10128.1,50.9,645.5,137.2,702.3,513.4,56.5,554,3030.8,1639.9,714,33091
Egypt,418.3,254.3,2582.5,3232.1,1894,3263.4,1857.8,1025.2,71.8,1771.8,1153.9,1701.1,1640.3,1279,418.7,769.6,242.6,311.2,248.7,254,898.3,213.5,25502
New Zealand,356.1,248.8,132.3,514.1,497.6,644.1,787.7,1710.9,993.2,1824.5,2533.2,3361.9,580.9,1084.5,1578.5,1043.8,1082.6,962.9,711.3,1745.5,1438.9,678.3,24512
Ukraine,801.7,735.4,269.6,2928.2,1138.4,2542.2,684.4,1064.3,984.1,599.7,911.2,311.7,650.3,223.7,193.8,2890.4,33.1,72.6,38.4,1007.1,976.2,3584.5,22641
Hungary,933.3,675.5,2349.3,1058.5,1648,2503.6,858.7,352.9,957.3,831.3,345.5,511.6,242.7,94.1,230.3,356.5,1862.9,2461.5,669.4,400.2,1716.3,260.9,21320
Argentina,73.5,2046.2,36.6,847.3,499.7,378.1,850.6,1213.5,443.1,1395.1,1066.4,68.1,474.4,126.3,135,2264.7,813.9,694.3,473.5,1439,3450.5,1163.3,19953
Mauritius,1.2,,2,,40.6,351.9,753.6,2533.6,1576.5,292.2,1939.8,1044.3,2061.9,492.3,68.7,1061,464.3,1872.1,1445.7,1190.9,1025.6,683,18901
Morocco,4.9,,105,69.8,42.4,622.8,431.8,69.7,83.5,14.5,870.4,970.3,2958.6,4722.4,60.5,1014.2,3418.8,97.3,1395.9,149.6,85.7,278.1,17466
Nigeria,27.1,21.8,24.6,350.7,174.6,676.6,1476.1,672.7,1042.1,664,2695.7,765.9,962.4,502.5,87.8,281.6,3057.8,262.9,559.9,719.7,631.4,1033.1,16691
Estonia,112,162.9,565.2,878.5,2435.2,348.8,108.2,812.1,350,83.2,1316.3,178.6,280.5,53.9,233.7,1921,288.6,1114.1,721.3,2119.3,1683.8,605.2,16372
Lithuania,176.9,85.6,577.5,2679.4,286.8,582.2,293,210.2,120.9,657.9,308.9,109.3,609.8,185.2,137.6,565,687.1,710.1,569.8,334.8,2894.2,798.8,13581
Iceland,30,32.7,249.3,4437,1491.1,497,129.1,414.7,112.8,40.1,4120,133.4,42.2,41.9,36.8,111.9,102.7,37.5,17.5,54.8,784.5,513.7,13431
Oman,15.1,,,,84.2,130.4,3319,106.9,253,,328.8,206.4,459.4,4122.1,330,355.6,403.9,157.2,15.2,744.9,853.7,454.2,12340
Kenya,51.4,10.8,41.2,80.8,263,441.1,328.7,3316.4,407.6,385.1,546.2,544.6,923.9,255.9,309.4,388.8,179.3,137.5,619,471,1449.6,404.2,11556
Slovakia,20.5,94.9,3.2,80.3,515.3,64.9,387.9,1309,27.7,260.6,277.1,12.1,27.4,113.4,181.6,193.2,218.9,360.3,172.6,3532.4,698.6,594.3,9146
Colombia,284.4,97.6,,58,370.4,362.8,81.1,447.8,709,775.1,868.8,316.1,37.9,109.2,687.3,228.8,1057.4,396.1,746.5,510.3,409,126.5,8680
Croatia,61.3,99.7,285.6,290.3,3239,1457.1,65,794.4,61,141.5,67.5,23.5,37.3,202.2,42.2,234.9,205,90.1,137.3,487.7,198,145.6,8366
Slovenia,545.2,455.5,772.7,1637.3,620.3,637.5,433.1,349.5,265.5,135.6,101.3,23.7,144.7,39.9,253.2,897.3,250.4,65.8,28,83.3,249.9,193.2,8183
Lebanon,27.1,85.9,660.8,3282.7,426.9,451.7,569,147.1,184.6,164,145,74.1,117.6,166.8,263.1,45.9,92.5,34.3,407,113.1,176.1,141.5,7777
Pakistan,242.6,104.4,386.5,141.9,42,1285.2,22,117.2,221.8,47.3,819.6,198.5,76.3,252.6,79.1,38.5,697.5,107.3,92.1,98.1,617.2,1346,7034
Belarus,,450.8,33.6,205.1,66.2,196.4,405.8,1922,115.6,61.3,646.3,210.2,230.7,82.1,792.7,268.9,92.3,52.8,147.2,41.2,335.7,32.8,6390
Latvia,628.9,138.4,213.5,313.7,201.3,518.3,621.3,732.7,193.2,74.9,88.5,51.9,308.1,134.5,85.4,449.5,92.5,42.9,51.7,252.5,521.9,377,6093
Jordan,94.9,22.8,146.8,142.9,143.1,533.8,876.7,587.2,50,699.3,112.7,699.8,252.4,78.9,69,136.7,47.2,16,8.7,60.3,1157.5,50.8,5987
Bulgaria,388.6,786.2,120.3,52.5,120.7,300,17.5,95.8,85.5,88.8,291,266.1,577.9,34.2,462.9,74.6,69.1,268.5,118,580.1,790.2,275.2,5864
Peru,8,684,2.2,6.7,307.8,8,357.1,26.6,253.4,278.6,333.1,660.2,405.6,98.9,87.4,269.3,230.3,108.2,281.8,137.1,381.2,338,5264
Romania,244.4,74.1,76.8,132.8,94,241.1,101.5,735,39.5,185.8,185.9,307,258.3,33.3,192.7,143.2,115.5,355.7,186.9,715.2,526.5,280.6,5226
Jamaica,,237.6,2.7,205,1.6,881.3,,163.9,168.9,41.5,284.9,111.9,210.6,479.9,439.1,5.1,207.8,61.9,440.9,301,17,66.1,4329
Kazakhstan,68.2,605.6,363.6,205.3,43.1,221.1,631.8,656.9,241.3,35,46.7,221.1,10.3,180.3,53.2,53.8,220.9,34.2,,34,257.7,120,4304
Malta,22.5,62.7,130.9,17.1,61.1,181,764.3,19.3,540.1,56.7,106.3,128.7,4,47,170.5,85.7,463.2,153,118.1,641.1,165.3,198.6,4137
Algeria,903,,,30.7,44.4,265.7,58.4,,137.5,200,14.9,,168.7,5.3,1213.3,303.7,,,10.5,30.3,195.7,1.3,3583
Panama,,30.9,20,10.8,41.7,49.8,84.9,464.6,54.2,4.2,37.1,88.4,,35.8,116.3,1866.4,53.1,46.7,72.3,3.9,14.6,54.5,3150
Tunisia,0.2,44,47.9,137.3,888.2,410.6,55.1,100.6,14.3,5.8,173,86.8,79,26.2,116,105.6,132.8,58.9,284.2,111.4,125.4,60.7,3064
Serbia,34.3,18.9,,170.9,25.5,317.9,49.1,205.1,93.7,46.7,45.3,412.8,19.7,123.9,252,108.4,25.2,63.3,54.3,77.9,118.1,459.4,2722
Bahamas,650,359.8,299.7,6.1,4,10.8,34.8,,0.9,8.3,60.8,,,,715.8,144.5,,,20.6,161.5,132.2,81.2,2691
Bangladesh,26.9,,,72.5,,101.9,61,87.3,102.2,128.5,0.7,48.5,58.6,76.3,131.3,1057,133.1,21.6,49.4,47.6,58.4,47.4,2310
Angola,,32.3,,,41.7,83.4,2.2,595,,347.9,70.4,297.3,9.5,,302.8,144.3,25.8,40,,3.7,12.3,253.7,2262
Guatemala,,,41.9,,74.1,49.1,115.7,62.6,373.7,177.8,198.6,7.1,,1.7,6.6,102.2,23,231.7,12.4,355.3,4.4,126.7,1965
Cambodia,,,,,,65,208.8,,,166.8,175.3,79.3,2.8,,1.8,,,123.4,,1.4,414.2,262.7,1501
Cameroon,,,11,,,,22,,,,,,9.4,,51.3,38.1,23.7,6.1,,163.1,1,765.2,1091
Cote d Ivoire,,11,33,11,,11.8,22,22,,42.1,368.2,150,9.5,38.3,118.9,28,67.2,84.8,,1.9,31.7,24.1,1076
Georgia,,6,,,,74.8,29,6.7,181.1,205.9,13.3,,32.6,,26.5,19,32.6,0.5,121.2,39.7,71.7,112.6,973
Costa Rica,,5.2,2.4,12.3,89.9,4.8,45.2,50.6,3.2,2,68.9,4.4,7.3,19,8.5,175,16,4,82,117.5,12,193.7,924
Uruguay,26.1,15.3,,,25.2,2.4,43.1,2.4,5.1,,16.7,,,15.5,8.4,7.2,154.4,17.7,284.7,29.7,61.3,4.7,720
Albania,,16.5,,,,,,105.2,,,,,,,14.7,409.2,,5.8,39.7,68.2,,43.3,703
Ghana,,0.2,,,,,5.6,16.1,52.4,47.7,21.6,,4.7,34.7,20.5,47.4,51.3,36.2,1.3,25.7,157.7,172.2,695
Armenia,,,30.7,2,,45.6,,7.3,69.6,133.9,,,43.9,,,,3.7,,17.6,3.4,50.1,16,424
Trinidad & Tobago,,,30.9,0.5,27.7,,,2.5,,,62.2,,,,,13.9,29.6,3,2.2,146.2,5.9,4.5,329
North Macedonia,4.4,,,,,,9.5,1,34.9,,74.9,,,,,,,9.1,0.6,16.1,22,140.7,313
Iraq,,,82,,16,,20,2.2,42.2,,8.7,,,,3,25.5,60.8,,1.3,2.2,19.4,8.2,291
Bosnia-Herzegovina,,,31.9,,,6.8,,18.6,2.6,5.7,72.4,7.1,,3.1,1.2,0.3,,,3.8,3.7,11.4,121.7,290
Seychelles,,,,,,,,,,,,,3,,,,62,33.9,46.6,2.4,64.7,12.7,225
Montenegro,,,,,,,,6.8,,,19.4,,,2.2,,,,,1.4,3.6,19.4,39.7,93
